,subject,region,raw SNR
23,02,Occipital_Sup_R,65.791005469
30,10,Occipital_Sup_R,24.3452746704
25,06,Occipital_Sup_R,47.6974196273
31,12,Occipital_Sup_R,37.7408353976
41,19,Occipital_Sup_R,45.892519287
33,22,Occipital_Sup_R,48.2641268851
34,15,Occipital_Sup_R,58.9842883428
35,16,Occipital_Sup_R,40.7204692028
36,17,Occipital_Sup_R,30.6677971475
37,18,Occipital_Sup_R,34.971987334
38,11,Occipital_Sup_R,24.4087887032
39,21,Occipital_Sup_R,75.6704668287
40,20,Occipital_Sup_R,36.2726195222
21,01,Occipital_Sup_R,51.8501601142
32,14,Occipital_Sup_R,48.4309602364
168,01,PrecG_L,59.8558607683
188,19,PrecG_L,67.6088145388
187,20,PrecG_L,46.7644524217
169,04,PrecG_L,59.7078759944
170,02,PrecG_L,47.9760883801
171,13,PrecG_L,72.9330418701
172,06,PrecG_L,65.287776769
173,07,PrecG_L,66.2800816031
175,09,PrecG_L,67.8127105647
176,05,PrecG_L,50.3388768383
177,10,PrecG_L,50.7127216392
174,08,PrecG_L,53.5104256465
179,14,PrecG_L,71.4393582994
178,12,PrecG_L,55.7288084355
185,11,PrecG_L,55.3902677942
184,18,PrecG_L,56.5526974384
183,17,PrecG_L,59.2103198427
186,21,PrecG_L,62.8255005282
181,15,PrecG_L,89.1664153922
180,22,PrecG_L,72.8076953962
182,16,PrecG_L,61.6532995454
389,14,PrecG_R,76.7923600579
396,21,PrecG_R,67.825510649
395,11,PrecG_R,49.2059463016
394,18,PrecG_R,52.8573707529
393,17,PrecG_R,64.0132485176
392,16,PrecG_R,63.9481313344
391,15,PrecG_R,97.4850386013
390,22,PrecG_R,72.7926148789
388,12,PrecG_R,59.1207612555
378,01,PrecG_R,66.2193811758
386,05,PrecG_R,55.3873959763
385,09,PrecG_R,72.6095691957
384,08,PrecG_R,56.059067167
383,07,PrecG_R,77.0479056767
382,06,PrecG_R,71.4087716617
381,13,PrecG_R,81.1041475758
380,02,PrecG_R,54.7658042701
379,04,PrecG_R,67.4274040974
397,20,PrecG_R,52.4623897328
387,10,PrecG_R,50.9634878193
398,19,PrecG_R,65.8594405217
400,01,Visual Cortex,54.0438740701
401,20,Visual Cortex,36.2571084291
402,21,Visual Cortex,72.0650856152
403,11,Visual Cortex,22.4065511147
404,18,Visual Cortex,33.7667855711
405,17,Visual Cortex,30.942385966
406,16,Visual Cortex,38.6845111422
407,15,Visual Cortex,60.3175024917
408,19,Visual Cortex,44.8885986751
409,22,Visual Cortex,47.6356260665
410,12,Visual Cortex,38.2267805014
411,10,Visual Cortex,23.0465097049
412,05,Visual Cortex,44.4049712631
413,09,Visual Cortex,44.760825517
414,08,Visual Cortex,41.887975504
415,07,Visual Cortex,61.6372931091
416,06,Visual Cortex,46.7915534816
417,14,Visual Cortex,50.4446661821
418,04,Visual Cortex,35.3989989788
419,02,Visual Cortex,65.4464998629
420,13,Visual Cortex,58.2386119799
421,01,Frontal Cortex,70.1026000759
422,20,Frontal Cortex,54.1302847808
423,21,Frontal Cortex,69.4284883728
