,Unnamed: 0,PID,Title,Paper-source,Included,Exclusion Reason,Exclusion Reason Subcategory,Keyword,prop_match,where_match
117,117.0,,"Oztekin,Ilke;Badre,David;(2011)Distributed Patterns of Brain Activity that Lead to Forgetting.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
118,118.0,,"Park,Soojin;Konkle,Talia;Oliva,Aude;(2014)Parametric Coding of the Size and Clutter of Natural Scenes in the Human Brain.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
119,119.0,,"Ponseti,Jorge;Granert,Oliver;Jansen,Olav;Wolff,Stephan;Mehdorn,Hubertus;Bosinski,Hartmut;Siebner,Hartwig;(2009)Assessment of sexual orientation using the hemodynamic brain response to visual sexual stimuli.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
120,120.0,,"Pyka,Martin;Hahn,Tim;Heider,Dominik;Krug,Axel;Sommer,Jens;Kircher,Tilo;Jansen,Andreas;(2013)Baseline activity predicts working memory load of preceding task condition.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
121,121.0,,"Said,Christopher P;Moore,Christopher D;Norman,Kenneth A;Haxby,James V;Todorov,Alexander;(2010)Graded representations of emotional expressions in the left superior temporal sulcus.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
122,122.0,,"Shinkareva,Svetlana V;Wang,Jing;Kim,Jongwan;Facciani,Matthew J;Baucom,Laura B;Wedell,Douglas H;(2014)Representations of modality-specific affective processing for visual and auditory stimuli derived from functional magnetic resonance imaging data.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
123,123.0,,"Wang,Jiongjiong;Korczykowski,Marc;Rao,Hengyi;Fan,Yong;Pluta,John;Gur,Ruben C;McEwen,Bruce S;Detre,John A;(2007)Gender difference in neural response to psychological stress.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
124,124.0,,"Papageorgiou,T Dorina;Lisinski,Jonathan M;McHenry,Monica A;White,Jason P;LaConte,Stephen M;(2013)Brain-computer interfaces increase whole-brain signal to noise.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
125,125.0,,"Grosenick,Logan;Greer,Stephanie;Knutson,Brian;(2008)Interpretable classifiers for FMRI improve prediction of purchases.",Search 2,Exclude,multivariate: frontal rois or searchlights,combined ROIês,,,
126,126.0,,"Polyn, Sean M Natu, Vaidehi S Cohen, Jonathan D Norman, Kenneth a (2005). Category-specific cortical activity precedes retrieval during memory search.",Search 2,Exclude,multivariate: frontal rois or searchlights,"Not specific frontal ROIês, back projected importance",,,
127,127.0,,"Harrison,Stephenie A;Tong,Frank;(2009)Decoding reveals the contents of visual working memory in early visual areas.",Search 2,Exclude,multivariate: frontal rois or searchlights,"Paper Search ""Frontal"" ""PFC""",,,
128,128.0,,"Kuhl,Brice A;Bainbridge,Wilma A;Chun,Marvin M;(2012)Neural reactivation reveals mechanisms for updating memory.",Search 2,Exclude,multivariate: frontal rois or searchlights,"Paper Search ""Frontal"" ""PFC""",,,
129,129.0,,"Carter,R McKell;Bowling,Daniel L;Reeck,Crystal;Huettel,Scott A;(2012)A distinct role of the temporal-parietal junction in predicting socially guided decisions.",Search 2,Exclude,multivariate: frontal rois or searchlights,whole brain_,,,
130,130.0,,"Baucom,Laura B;Wedell,Douglas H;Wang,Jing;Blitzer,David N;Shinkareva,Svetlana V;(2012)Decoding the neural representation of affective states.",Search 2,Exclude,multivariate: frontal rois or searchlights,"Not specific frontal ROIês, back projected importance",,,
131,131.0,,"Ryali,Srikanth;Supekar,Kaustubh;Abrams,Daniel A;Menon,Vinod;(2010)Sparse logistic regression for whole-brain classification of fMRI data.",Search 2,Exclude,multivariate: frontal rois or searchlights,"Not specific frontal ROIês, back projected importance",,,
132,132.0,,"Jenkins,Lucas J;Ranganath,Charan;(2010)Prefrontal and medial temporal lobe activity at encoding predicts temporal context memory.",NOT IN Search 2,Exclude,multivariate: frontal rois or searchlights,across region prediction,temporal context for memory,,
133,133.0,,"Jarrod A. Lewis-Peacock, Andrew T. Drysdale, and Bradley R. Postlel; (2014) Neural Evidence for the Flexible Control of Mental Representations_",NOT IN Search 2,Exclude,multivariate: frontal rois or searchlights,"Not specific frontal ROIês, back projected importance",,,
134,134.0,,"Pantazatos,Spiro P;Talati,Ardesheer;Pavlidis,Paul;Hirsch,Joy;(2012)Decoding unattended fearful faces with whole-brain correlations: an approach to identify condition-dependent large-scale functional connectivity.",Search 2,Exclude,multivariate: frontal rois or searchlights,functional connectivity,,,
